word,pos,count,tag1,tag2,tag3
minna,PROPN,444,Person,Literatur,Historisch 
goetter,NOUN,443,Typ,Theologie,
gattung,NOUN,443,Gattung ,,
feind,NOUN,443,Agonalität,Alterität,
muster,NOUN,443,Lehrmedien,,
anordnung,NOUN,442,,,
mitteilung,NOUN,442,,,
freudig,ADV,441,Bewertung,,
gehoerig,ADV,439,,,
furcht,NOUN,438,Emotion ,,
frankreich,PROPN,438,Nation,,
wahrhaft,ADV,437,Höhe,Beschreibung ,Ästhetik
disposition,NOUN,435,Praktik,Methode ,
schildern,VERB,434,,,
vorbereitung,NOUN,434,Praktik,Methode ,
vergl,VERB,432,,,
fabeln,NOUN,431,,,
kaempfen,VERB,431,Agonalität,,
entfernt,ADV,430,,,
erhaben,ADV,429,Höhe,Beschreibung ,Ästhetik
unendlich,ADV,428,Höhe,Beschreibung ,Ästhetik
anschaulich,ADV,428,Beschreibung,Ästhetik,
haengen,VERB,425,,,
sturm,NOUN,425,Narrativ,,
erfuellen,VERB,425,,,
pruefung,NOUN,423,Praktik,Schule,
fuehrt,VERB,421,,,
heben,VERB,421,,,
is,X,421,,,
feinden,NOUN,421,Agonalität,,
umstaend,VERB,420,,,
fertigkeit,NOUN,420,,,
schwester,NOUN,419,Typ,Familie,
christentum,NOUN,417,Theologie,,
freundlich,ADV,417,positive Bewertung,,
prinz,NOUN,417,Narrativ,,
herzog,PROPN,416,Typ,Literatur,
rechnen,VERB,414,,,
kunstwerk,NOUN,414,Ästhetik,,
muehen,VERB,414,,,
ring,PROPN,413,,,
vorteil,NOUN,413,,,
brauen,NOUN,413,,,
bezeichnung,NOUN,412,Beschreibung,,
richter,NOUN,412,Typ,Politik,
klarheit,NOUN,412,positive Bewertung,,
hoffen,VERB,411,,,
blume,PROPN,411,Narrativ,Natur,
zielen,VERB,411,,,
spiel,NOUN,409,Narrativ,,
bezug,NOUN,408,,,
eingehend,ADV,408,,,
burg,PROPN,407,Ort,Literatur,
kehren,VERB,407,,,
gewaehren,VERB,407,,,
ereignis,NOUN,405,,,
anzahl,NOUN,405,,,
schaden,VERB,405,,,
schwach,ADV,404,negative Bewertung,,
tertia,PROPN,403,Schule,,
dergleichen,PRON,402,,,
teilnahme,NOUN,402,,,
worauf,SCONJ,402,,,
retten,VERB,401,,,
gedichte,NOUN,401,Gattung ,Poetologie,
nathan,PROPN,401,Person,Literatur,
anstalt,NOUN,401,,,
anwenden,VERB,399,,,
